ingredient,quantity
guacamole,0.25 cup of guacamole
heavy cream,0.5 cup of heavy cream
herbs,2 tbsp of herbs
High-Protein,yes
honey,1 tbsp of honey
ice,1 cup of ice
ladyfingers,4 ladyfingers
lemon,1 lemon
lemon juice,2 tbsp of lemon juice
lemons,2 lemons
lemon zest,1 tsp of lemon zest
lentils,1 cup of lentils
lettuce,2 leaves of lettuce
lettuce leaves,3 lettuce leaves
lime,1 lime
maple syrup,2 tbsp of maple syrup
mascarpone cheese,3 oz of mascarpone cheese
mashed potatoes,1 cup of mashed potatoes
mayonnaise,1.5 tbsp of mayonnaise
milk,1 cup of milk
mint,2 tbsp of mint
mint leaves,1 tbsp of mint leaves
mixed berries,1 cup of mixed berries
mozzarella,4 slices of mozzarella
mozzarella balls,0.5 cup of mozzarella balls
mushrooms,1 cup of mushrooms
mustard,1 tbsp of mustard
nutmeg,0.5 tsp of nutmeg
oats,0.75 cup of oats
olive oil,2 tbsp of olive oil
onion,1 onion
onions,2 onions
orange slices,3 orange slices
paprika,1 tsp of paprika
parmesan cheese,0.25 cup of parmesan cheese
parsley,2 tbsp of parsley
pasta,1 cup of pasta
peaches,2 peaches
peanut butter,2 tbsp of peanut butter
pears,2 pears
peas,0.75 cup of peas
pepper,0.5 tsp of pepper
pie crust,1 pie crust
pita bread,2 pieces of pita bread
popcorn kernels,0.5 cup of popcorn kernels
pork shoulder,1 lb of pork shoulder
potatoes,2 potatoes
powdered sugar,0.5 cup of powdered sugar
prep_time,15 min
puff pastry,1 sheet of puff pastry
pumpkin,0.5 cup of pumpkin
quinoa,1 cup of quinoa
red onion,1 red onion
romaine lettuce,2 leaves of romaine lettuce
rosemary,1 tbsp of rosemary
sage,1 tsp of sage
salmon fillets,1 salmon fillet
salsa,0.5 cup of salsa
salt,1 tsp of salt
sausage,2 sausages
sesame oil,60 ml of sesame oil
shrimp,6 shrimp
smoked salmon,2 oz of smoked salmon
snap peas,0.5 cup of snap peas
sour cream,0.25 cup of sour cream
soy sauce,1 tbsp of soy sauce
spaghetti,1 cup of spaghetti
sparkling water,250 ml of sparkling water
spices,1 tsp of spices
spinach,1 cup of spinach
strawberries,0.75 cup of strawberries
sugar,0.25 cup of sugar
sweet potato,1 sweet potato
sweet potatoes,2 sweet potatoes
swiss cheese,3 slices of swiss cheese
taco seasoning,1 tbsp of taco seasoning
taco shells,2 taco shells
tahini,1 tbsp of tahini
thyme,1 tsp of thyme
tofu,0.5 block of tofu
tomatoes,2 tomatoes
tomato paste,2 tbsp of tomato paste
tomato sauce,0.5 cup of tomato sauce
tortilla,2 tortillas
tuna,1 can of tuna
turkey slices,3 slices of turkey
turmeric,0.5 tsp of turmeric
vanilla,1 tsp of vanilla
vanilla extract,1 tsp of vanilla extract
vegetable broth,8 oz of vegetable broth
vegetables,1 cup of vegetables
walnuts,0.25 cup of walnuts
water,1 cup of water
watermelon,1 cup of watermelon
whipped cream,0.5 cup of whipped cream
whipping cream,0.5 cup of whipping cream
white wine,3 oz of white wine
yogurt,0.5 cup of yogurt
zucchini,1 zucchini
